InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV101143,5/7/2024 0:39,S006,C0036,Clothing,4,113.02,14.57,66.8,New,Cash
INV104639,5/7/2024 1:01,S001,C0096,Clothing,1,61.81,9.33,38.5,Returning,Card
INV100850,5/7/2024 1:16,S018,A0057,Accessories,6,29.83,19.17,20.9,New,Cash
INV109657,5/7/2024 2:50,S004,A0060,Accessories,6,26.54,8.94,15.73,New,Cash
INV105053,5/7/2024 6:08,S013,C0086,Clothing,2,44.89,10.75,31.79,New,Card
INV109304,5/7/2024 15:23,S004,A0028,Accessories,5,61.57,8.36,35.01,New,Cash
INV101755,5/7/2024 16:54,S014,A0020,Accessories,4,67.12,19.87,36.68,New,Cash
INV106905,5/7/2024 17:18,S017,A0049,Accessories,1,16.3,8.06,12.08,Returning,Digital
INV103751,5/7/2024 20:29,S005,SH0004,Shoes,2,102.74,7.53,84.13,Returning,Cash
INV103287,5/7/2024 21:26,S012,SH0021,Shoes,6,89.64,1.07,74.69,Returning,Digital
INV101552,5/8/2024 4:26,S010,A0026,Accessories,4,31.43,9.93,18.56,Returning,Digital
INV101497,5/8/2024 14:07,S007,A0054,Accessories,5,21.35,0.12,13.87,Returning,Digital
INV101468,5/8/2024 19:11,S006,A0057,Accessories,6,66.51,1.72,49.44,Returning,Cash
INV101148,5/8/2024 20:02,S002,SH0028,Shoes,2,129.43,14.31,98.48,Returning,Card
INV108327,5/8/2024 20:22,S010,A0050,Accessories,3,15.96,4.56,7.61,Returning,Digital
INV101947,5/9/2024 4:55,S009,SH0013,Shoes,1,79.1,7.45,62.69,New,Digital
INV106138,5/9/2024 5:28,S020,C0088,Clothing,3,33.28,5.54,20.78,Returning,Card
INV102194,5/9/2024 6:20,S006,A0019,Accessories,6,17.22,17.48,12.49,New,Digital
INV104898,5/9/2024 6:58,S006,C0001,Clothing,5,91.74,9.34,73.38,New,Card
INV106224,5/9/2024 11:17,S012,C0010,Clothing,4,107.77,18.26,75.06,Returning,Card
INV101331,5/9/2024 12:34,S006,C0085,Clothing,6,104.07,6.99,57.67,New,Card
INV101880,5/9/2024 13:53,S012,C0006,Clothing,5,44.51,13.25,27.66,Returning,Card
INV106004,5/9/2024 19:40,S016,SH0016,Shoes,4,137.64,1.06,101.52,Returning,Digital
INV103692,5/9/2024 21:12,S013,SH0039,Shoes,6,157.38,0.89,94.42,Returning,Cash
INV104822,5/10/2024 0:16,S014,C0033,Clothing,2,86.77,13.06,64.54,Returning,Digital
INV109639,5/10/2024 1:06,S008,A0045,Accessories,2,55.65,12.58,40.69,New,Digital
INV100948,5/10/2024 9:17,S015,A0008,Accessories,6,33.9,1.72,20.3,New,Cash
INV104347,5/10/2024 18:39,S017,SH0037,Shoes,6,137.73,13.04,114.08,Returning,Card
INV101296,5/10/2024 19:43,S020,A0024,Accessories,1,52.68,1.53,27.45,New,Cash
INV107280,5/10/2024 20:01,S015,A0039,Accessories,4,17.99,8.96,10.81,Returning,Digital
INV108891,5/10/2024 22:14,S010,SH0023,Shoes,5,182.14,8.56,152.39,Returning,Card
INV102481,5/10/2024 22:21,S019,A0012,Accessories,1,58.68,19.76,30.31,New,Card
INV106758,5/11/2024 0:36,S019,A0025,Accessories,1,25.58,11.07,18.4,Returning,Card
INV101831,5/11/2024 2:30,S004,A0016,Accessories,5,53.96,8.17,21.64,Returning,Digital
INV105178,5/11/2024 2:43,S019,A0046,Accessories,4,39.24,13.74,24.75,New,Digital
INV107482,5/11/2024 7:20,S009,SH0006,Shoes,6,82.1,12.96,66.56,New,Cash
INV101657,5/11/2024 10:58,S014,A0012,Accessories,3,46.49,5.13,24.74,New,Cash
INV106725,5/11/2024 12:30,S005,A0030,Accessories,5,58.82,12.2,40.63,New,Digital
INV107069,5/11/2024 16:22,S009,SH0025,Shoes,5,68.08,12.78,41.1,New,Card
INV100583,5/11/2024 16:49,S011,C0054,Clothing,4,112.04,13.54,64.29,New,Card
INV103812,5/11/2024 16:59,S017,A0003,Accessories,4,16.2,17.47,8.62,Returning,Digital
INV105776,5/11/2024 20:08,S008,SH0027,Shoes,3,144.46,14.73,80.53,New,Card
INV106560,5/11/2024 23:28,S012,C0001,Clothing,1,48.12,14.38,29.97,New,Cash
INV108961,5/12/2024 0:59,S009,A0033,Accessories,1,41.51,12.02,22.34,New,Digital
INV108279,5/12/2024 1:43,S011,A0029,Accessories,4,49.26,4.09,36.22,Returning,Digital
INV108593,5/12/2024 2:34,S018,C0078,Clothing,4,89.6,17.82,48.68,New,Digital
INV107646,5/12/2024 23:25,S017,A0023,Accessories,4,30.92,15.56,12.69,New,Cash
INV106328,5/13/2024 0:19,S006,A0050,Accessories,1,55.44,10.53,39,New,Card
INV105692,5/13/2024 8:07,S001,C0048,Clothing,5,119.62,12.22,71.91,New,Digital
INV100042,5/13/2024 11:19,S018,A0055,Accessories,5,72.41,14.95,50.14,New,Card
INV102361,5/13/2024 12:05,S004,A0030,Accessories,5,75.15,11.36,50.79,New,Digital
INV107005,5/14/2024 4:58,S019,C0096,Clothing,1,53.54,8.82,38.59,New,Cash
INV101239,5/14/2024 10:55,S019,C0018,Clothing,5,104.3,15.32,70.76,New,Card
INV100705,5/14/2024 12:38,S012,A0060,Accessories,5,44.01,8.59,29.26,Returning,Card
INV103879,5/14/2024 19:48,S013,SH0018,Shoes,4,65.89,10.87,48.91,New,Card
INV108883,5/14/2024 20:20,S005,SH0005,Shoes,4,67.73,9.39,55.5,Returning,Digital
INV108218,5/14/2024 22:49,S016,A0038,Accessories,4,78.85,4.31,55.88,New,Digital
INV106151,5/15/2024 0:25,S019,A0003,Accessories,1,51.44,3.5,34.97,New,Card
INV104189,5/15/2024 0:37,S009,SH0033,Shoes,6,108.6,11.37,89.03,Returning,Digital
INV102229,5/15/2024 1:36,S007,A0048,Accessories,1,45.3,7.92,21.03,New,Cash
INV101215,5/15/2024 4:34,S002,A0058,Accessories,6,16.46,12.96,12.17,New,Card
INV101747,5/15/2024 6:37,S019,C0024,Clothing,4,22.96,19.9,12.72,New,Cash
INV102760,5/15/2024 7:36,S002,A0044,Accessories,3,60.49,16.73,42.06,Returning,Card
INV107026,5/15/2024 8:10,S017,C0067,Clothing,4,103.11,2.11,66.95,New,Card
INV105460,5/15/2024 8:55,S003,SH0037,Shoes,6,162.92,19.84,121.98,New,Cash
INV100243,5/15/2024 11:12,S016,SH0020,Shoes,3,158.33,11.83,98.6,New,Digital
INV102146,5/15/2024 15:38,S010,SH0022,Shoes,6,164.03,11.74,120.81,Returning,Digital
INV100650,5/15/2024 16:37,S014,SH0010,Shoes,5,49.17,17.17,34.52,Returning,Cash
INV109725,5/15/2024 19:18,S009,SH0019,Shoes,5,146.89,10.14,84.11,New,Card
INV106052,5/15/2024 20:50,S019,C0025,Clothing,3,34.35,6.45,20.87,Returning,Cash
INV106298,5/15/2024 22:10,S019,SH0028,Shoes,5,163.2,15.9,117.13,Returning,Cash
INV105706,5/16/2024 0:33,S016,C0008,Clothing,2,55.65,5.29,30.18,Returning,Digital
INV105484,5/16/2024 2:42,S010,SH0022,Shoes,4,128.21,10.53,86.39,New,Card
INV109220,5/16/2024 5:33,S010,A0016,Accessories,6,15.21,2.61,9.73,Returning,Digital
INV105662,5/16/2024 8:10,S016,A0033,Accessories,1,78.72,4.02,32.83,New,Card
INV107282,5/16/2024 11:26,S005,SH0020,Shoes,6,142.62,3.2,107.72,Returning,Card
INV107149,5/16/2024 19:03,S002,SH0008,Shoes,4,104.67,6.83,86.46,Returning,Card
INV107671,5/17/2024 4:37,S009,C0068,Clothing,1,95.24,17.08,49.92,New,Card
INV100942,5/17/2024 6:28,S009,SH0013,Shoes,1,40.9,18.22,26.3,New,Digital
INV107312,5/17/2024 8:56,S003,A0041,Accessories,2,30.55,15.15,21.24,New,Cash
INV108216,5/17/2024 12:38,S018,SH0016,Shoes,6,119.41,3.38,90.43,New,Card
INV104530,5/17/2024 13:50,S015,A0041,Accessories,5,70.25,19.25,33.45,New,Cash
INV107195,5/17/2024 14:19,S015,SH0033,Shoes,4,48.82,8.45,35.81,Returning,Cash
INV108273,5/17/2024 17:50,S019,C0078,Clothing,2,95.95,11.57,55.38,New,Card
INV100801,5/17/2024 17:50,S011,SH0013,Shoes,5,52.45,2.89,39.36,New,Cash
INV108997,5/17/2024 18:27,S011,A0060,Accessories,4,47.02,19.44,22.96,New,Card
INV101161,5/17/2024 21:08,S009,SH0002,Shoes,5,189.69,3.62,129.62,Returning,Digital
INV100345,5/17/2024 21:15,S019,SH0011,Shoes,2,161.15,3.58,95.42,New,Digital
INV100610,5/17/2024 22:51,S013,C0011,Clothing,2,53.83,8.68,33.4,New,Digital
INV109939,5/18/2024 1:18,S010,A0023,Accessories,5,73.6,11.71,45.46,Returning,Cash
INV102600,5/18/2024 3:56,S004,C0009,Clothing,3,38.44,17.12,22.61,New,Card
INV106307,5/18/2024 5:17,S012,SH0014,Shoes,6,188.11,16.24,105.23,Returning,Cash
INV105349,5/18/2024 8:56,S004,SH0002,Shoes,1,67.74,8.21,42.71,Returning,Card
INV105376,5/18/2024 9:10,S016,SH0024,Shoes,6,194.98,14.2,162.2,New,Cash
INV107741,5/18/2024 20:06,S003,C0067,Clothing,1,56.4,10.27,39.17,Returning,Card
INV100188,5/19/2024 0:33,S006,A0035,Accessories,6,78.42,13.48,31.84,New,Cash
INV101441,5/19/2024 1:54,S017,SH0007,Shoes,4,122.35,8.81,93.54,Returning,Digital
INV102859,5/19/2024 5:50,S018,A0008,Accessories,1,76.28,8.87,55.41,Returning,Card
INV106471,5/19/2024 8:22,S016,A0019,Accessories,2,29.2,16.41,19.99,New,Digital
